"Sour cream, reduced fat",7,0,0.3,12,"1 tablespoon",230,"1 cup"
"Sour cream, light",7.1,0,0.22,12,"1 tablespoon",230,"1 cup"
"Sour cream, fat free",15.6,0,0.39,12,"1 tablespoon",230,"1 cup"
"USDA Commodity, cheese, cheddar, reduced fat",2,0,0.58,113,"1 cup, shredded",,
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",7.5,0,7.5,170,"1 container,  (6 oz)",,
"Parmesan cheese topping, fat free",40,0,1.5,5,"1 tablespoon",,
"Cheese, cream, fat free",7.66,0,5.48,18,"1 tbsp",,
"Yogurt, chocolate, nonfat milk",23.53,1.2,14.97,170,"1 container,  (6 oz)",,
"KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce",9.2,0.3,6.7,33,"2 tbsp",,
"KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product",16.2,0.2,8.2,35,"2 tbsp",,
"KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product",11.7,0.2,6.7,21,"1 slice",,
"KRAFT VELVEETA Pasteurized Process Cheese Spread",9.8,0,8.1,28,"1 oz",,
"KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product",11.8,0,8.5,28,"1 oz",,
"KRAFT BREAKSTONE'S Reduced Fat Sour Cream",6.5,0.1,6.4,31,"2 tbsp",,
"KRAFT BREAKSTONE'S FREE Fat Free Sour Cream",15.1,0,7.2,32,"2 tbsp",,
"KRAFT BREYERS Lowfat Strawberry Yogurt (1% Milkfat)",18.2,0.2,17.4,227,"1 container,  (8 oz)",,
"KRAFT BREYERS LIGHT N' LIVELY Lowfat Strawberry Yogurt (1% Milkfat)",21.9,0.2,19.6,125,"1 container,  (4.4 oz)",,
"KRAFT BREYERS Smooth & Creamy Lowfat Strawberry Yogurt (1% Milkfat)",19.9,0.3,17.2,227,"1 container,  (8 oz)",,
"KRAFT BREYERS LIGHT Nonfat Strawberry Yogurt (with Aspartame and Fructose Sweeteners)",9.9,0,7.7,227,"1 container,  (8 oz)",,
"Cream, half and half, fat free",9,0,5,29,"2 tbsp",484,"1 pint"
"Reddi Wip Fat Free Whipped Topping",25,0.4,16,4,"1 tablespoon",75,"1 cup"
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",12.13,0.7,9.55,250,"1 cup",31.2,"1 fl oz"
"Yogurt, fruit, lowfat, with low calorie sweetener",18.6,0,2.9,227,"1 8 oz container,  (8 oz)",245,"1 cup,  (8 fl oz)"
"Cheese, parmesan, dry grated, reduced fat",1.37,0,0,100,"1 cup",5,"1 tbsp"
"Cream substitute, flavored, liquid",35.07,1.1,33.04,15,"1 tbsp",,
"Cream substitute, flavored, powdered",75.42,1.2,58.01,12,"4 tsp",,
"Cheese, provolone, reduced fat",3.5,0,0.55,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, Mexican, blend, reduced fat",3.41,0,0.56,28.35,"1 oz",28,".25 cup"
"Egg Mix, USDA Commodity",23.97,,2.46,8.6,"1 tbsp",105,"1 cup"
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",4.78,0,5.05,244,"1 cup",15,"1 tbsp"
"Milk, dry, whole, without added vitamin D",38.42,0,38.42,128,"1 cup",32,".25 cup"
"Milk, canned, evaporated, without added vitamin A and vitamin D",10.04,0,10.04,252,"1 cup",31.5,"1 fl oz"
"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",10.6,0,8.02,21,"1 slice,  3/4 oz",19,"1 slice,  2/3 oz"
"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",18.64,0,18.64,245,"1 cup,  (8 fl oz)",125,"1 container,  (4.4 oz)"
"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",19.05,0,19.05,245,"1 cup,  (8 fl oz)",170,"1 container,  (6 oz)"
"Yogurt, fruit variety, nonfat, fortified with vitamin D",19,0,19,245,"1 cup,  (8 fl oz)",125,"1 container,  (4.4 oz)"
"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",18.6,0,2.9,227,"1 8 oz container,  (8 oz)",245,"1 cup,  (8 fl oz)"
"Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D",13.8,0,13.8,245,"1 cup,  (8 fl oz)",227,"1 container,  (8 oz)"
"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D",7.5,0,7.5,170,"1 container,  (6 oz)",,
"Yogurt, chocolate, nonfat milk, fortified with vitamin D",23.53,1.2,14.97,170,"1 container,  (6 oz)",,
"Protein supplement, milk based, Muscle Milk, powder",18.5,7.1,5.71,11,"1 tbsp",,
"Protein supplement, milk based, Muscle Milk Light, powder",22,2,4,50,"2 scoop",,
"Dulce de Leche",55.35,0,49.74,19,"1 tbsp",,
"Egg substitute, liquid or frozen, fat free",2,0,2,240,"1 cup",60,".25 cup"
"Cheese, dry white, queso seco",2.04,,0.55,97,"1 cup, grated",,
"Cheese, fresh, queso fresco",2.98,0,2.32,122,"1 cup, crumbled",,
"Cheese, white, queso blanco",2.53,,1.76,118,"1 cup, crumbled",,
"Milk, buttermilk, fluid, whole",4.88,0,4.88,245,"1 cup",,
"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener",13.8,0,5.43,170,"1 container",,
"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",19.7,2,12.61,68,".5 cup",,
"Ice cream, soft serve, chocolate",22.2,0.7,21.16,86,".5 cup",,
"Ice cream, bar or stick, chocolate covered",24.5,0.8,18.3,50,"1 bar",,
"Ice cream sandwich",37.14,0,18.57,,,,
"Ice cream cookie sandwich",39.6,1.2,21.3,82,"1 serving",,
"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",34.38,1,25,96,"1 unit",,
"Ice cream sandwich, made with light ice cream, vanilla",39.64,0,17.86,70,"1 serving",,
"Ice cream sandwich, vanilla, light, no sugar added",42.86,7.1,6.58,70,"1 serving",,
"Fat free ice cream, no sugar added, flavors other than chocolate",27.94,7.4,8.82,68,".5 cup",,
"Milk dessert bar, frozen, made from lowfat milk",33.09,6.6,22.06,68,"1 bar",,
"Nutritional supplement for people with diabetes, liquid",11.88,2.2,2.64,227,"1 can",,
"Cheese, Mexican blend",1.75,0,1.23,28,".25 cup, shredded",,
"Cheese product, pasteurized process, American, vitamin D fortified",8.52,0,6.57,,,,
"Cheese, pasteurized process, American, without added vitamin D",3.7,0,2.26,140,"1 cup, diced",244,"1 cup, melted"
"Cheese food, pasteurized process, American, without added vitamin D",8.56,0,5.59,113,"1 cup",28.35,"1 oz"
"Egg, whole, raw, frozen, salted",0.83,0,0.07,,,,
"Spices, allspice, ground",72.12,21.6,,6,"1 tbsp",1.9,"1 tsp"
"Spices, anise seed",50.02,14.6,,6.7,"1 tbsp, whole",2.1,"1 tsp, whole"
"Spices, basil, dried",47.75,37.7,1.71,0.7,"1 tsp, leaves",2.1,"1 tbsp, leaves"
"Spices, bay leaf",74.97,26.3,,1.8,"1 tbsp, crumbled",0.6,"1 tsp, crumbled"
"Spices, caraway seed",49.9,38,0.64,6.7,"1 tbsp",2.1,"1 tsp"
"Spices, cardamom",68.47,28,,5.8,"1 tbsp, ground",2,"1 tsp, ground"
"Spices, celery seed",41.35,11.8,0.67,6.5,"1 tbsp",2,"1 tsp"
"Spices, chervil, dried",49.1,11.3,,1.9,"1 tbsp",0.6,"1 tsp"
"Spices, chili powder",49.7,34.8,7.19,8,"1 tbsp",2.7,"1 tsp"
"Spices, cinnamon, ground",80.59,53.1,2.17,7.9,"1 tbsp",2.6,"1 tsp"
